,latitude,longitude,scientific_name,common_name
0,4.8568351,100.750774,Pontederia crassipes,common water hyacinth
1,6.142888578,102.3411297,Pontederia crassipes,common water hyacinth
2,5.35396644,100.2993393,Pontederia crassipes,common water hyacinth
3,5.354424988,100.297565,Pontederia crassipes,common water hyacinth
4,5.3573212,100.2892534,Pontederia crassipes,common water hyacinth
5,5.28329263,100.47583,Pontederia crassipes,common water hyacinth
6,5.290298469,100.5052867,Pontederia crassipes,common water hyacinth
7,5.283528,100.4768579,Pontederia crassipes,common water hyacinth
8,5.353910916,100.3001215,Pontederia crassipes,common water hyacinth
9,5.353334904,100.2995148,Pontederia crassipes,common water hyacinth
10,5.283350052,100.4769227,Pontederia crassipes,common water hyacinth
11,3.046288961,101.7201582,Pontederia crassipes,common water hyacinth
12,3.124311667,101.653845,Pontederia crassipes,common water hyacinth
13,3.046388865,101.7202759,Pontederia crassipes,common water hyacinth
14,3.0367899,101.725697,Pontederia crassipes,common water hyacinth
15,3.119506667,101.6587783,Pontederia crassipes,common water hyacinth
16,3.102736667,101.6264467,Pontederia crassipes,common water hyacinth
17,3.119662911,101.6560925,Pontederia crassipes,common water hyacinth
18,3.12584,101.6590883,Pontederia crassipes,common water hyacinth
19,2.987050008,101.4723529,Pontederia crassipes,common water hyacinth
20,3.01682512,101.6798637,Pontederia crassipes,common water hyacinth
21,5.471961111,118.2149889,Pontederia crassipes,common water hyacinth
22,5.452377778,118.2510917,Pontederia crassipes,common water hyacinth
23,4.227542495,101.8894811,Pontederia crassipes,common water hyacinth
24,5.130916829,100.4929297,Pontederia crassipes,common water hyacinth
25,2.970575,101.8700117,Pontederia crassipes,common water hyacinth
26,3.166461489,101.5809113,Pontederia crassipes,common water hyacinth
27,5.35342775,100.2999098,Pontederia crassipes,common water hyacinth
28,5.353496075,100.3000641,Pontederia crassipes,common water hyacinth
29,3.126066667,101.6590983,Pontederia crassipes,common water hyacinth
30,3.125447222,101.6676361,Pontederia crassipes,common water hyacinth
31,3.12545,101.6676369,Pontederia crassipes,common water hyacinth
32,5.974118222,116.1058655,Pontederia crassipes,common water hyacinth
33,5.49528878,118.2866484,Pontederia crassipes,common water hyacinth
34,5.660697222,118.4000389,Pontederia crassipes,common water hyacinth
35,3.146055556,101.6844417,Pontederia crassipes,common water hyacinth
36,5.390510559,100.3009186,Pontederia crassipes,common water hyacinth
37,5.4960127,118.2824182,Pontederia crassipes,common water hyacinth
38,3.498816312,103.3965048,Pontederia crassipes,common water hyacinth
39,5.356255055,100.3008957,Pontederia crassipes,common water hyacinth
40,5.458676139,100.2921114,Pontederia crassipes,common water hyacinth
41,5.504916186,118.2654036,Pontederia crassipes,common water hyacinth
42,2.13219595,111.5250244,Pontederia crassipes,common water hyacinth
43,6.166299441,102.1471449,Pontederia crassipes,common water hyacinth
44,3.1048925,101.5717028,Pontederia crassipes,common water hyacinth
45,5.85469167,100.3628083,Pontederia crassipes,common water hyacinth
46,5.555644293,115.7573249,Pontederia crassipes,common water hyacinth
47,1.85785578,102.9674945,Pontederia crassipes,common water hyacinth
48,3.720032073,101.0649672,Pontederia crassipes,common water hyacinth
49,5.480106844,118.2227733,Pontederia crassipes,common water hyacinth
50,5.9788398,116.0753199,Pontederia crassipes,common water hyacinth
51,5.380312917,100.2771301,Pontederia crassipes,common water hyacinth
52,3.070118104,101.5161506,Pontederia crassipes,common water hyacinth
53,2.2320191,102.2678468,Pontederia crassipes,common water hyacinth
54,5.473242795,118.2375227,Pontederia crassipes,common water hyacinth
55,2.999882867,101.7601964,Pontederia crassipes,common water hyacinth
56,1.4794198,103.7359187,Pontederia crassipes,common water hyacinth
57,3.085204244,101.5396585,Pontederia crassipes,common water hyacinth
58,5.822981518,102.5703691,Pontederia crassipes,common water hyacinth
59,5.88321174,102.2222218,Pontederia crassipes,common water hyacinth
60,3.026437146,101.7183318,Pontederia crassipes,common water hyacinth
61,5.93936667,100.42862,Pontederia crassipes,common water hyacinth
62,3.536066932,101.1100625,Pontederia crassipes,common water hyacinth
63,5.353844332,100.2997316,Pontederia crassipes,common water hyacinth
64,5.354461708,100.2983201,Pontederia crassipes,common water hyacinth
65,5.35434952,100.2984709,Pontederia crassipes,common water hyacinth
66,5.607781931,118.3529905,Pontederia crassipes,common water hyacinth
67,5.383563113,100.2996076,Pontederia crassipes,common water hyacinth
68,5.354047779,100.3028724,Pontederia crassipes,common water hyacinth
69,5.35440344,100.2993283,Pontederia crassipes,common water hyacinth
70,3.078370408,101.4940396,Pontederia crassipes,common water hyacinth
71,3.0818114,101.4997656,Pontederia crassipes,common water hyacinth
72,3.075802833,101.4905617,Pontederia crassipes,common water hyacinth
73,3.179575972,101.681091,Pontederia crassipes,common water hyacinth
74,1.55394832,103.6368753,Pontederia crassipes,common water hyacinth
75,1.55391957,103.6368685,Pontederia crassipes,common water hyacinth
76,1.554091667,103.636855,Pontederia crassipes,common water hyacinth
77,1.55422056,103.6357599,Pontederia crassipes,common water hyacinth
78,2.9199292,101.6365982,Pontederia crassipes,common water hyacinth
79,3.1255614,101.6669434,Pontederia crassipes,common water hyacinth
80,1.564178333,110.3503333,Pontederia crassipes,common water hyacinth
81,1.55385175,103.6365219,Pontederia crassipes,common water hyacinth
82,5.528086,118.304497,Pontederia crassipes,common water hyacinth
83,1.554690299,103.6371606,Pontederia crassipes,common water hyacinth
84,2.180155,102.290046,Pontederia crassipes,common water hyacinth
85,3.536636126,101.0472466,Pontederia crassipes,common water hyacinth
86,1.5564549,103.6364524,Pontederia crassipes,common water hyacinth
87,3.018759972,101.616835,Pontederia crassipes,common water hyacinth
88,5.2796449,100.4954207,Pontederia crassipes,common water hyacinth
89,3.148776671,101.6111587,Pontederia crassipes,common water hyacinth
90,3.100440264,101.4083176,Pontederia crassipes,common water hyacinth
91,1.552838724,103.6405198,Pontederia crassipes,common water hyacinth
92,4.331294,101.1372865,Pontederia crassipes,common water hyacinth
93,5.4380309,100.388192,Pontederia crassipes,common water hyacinth
94,5.923630578,102.2497377,Pontederia crassipes,common water hyacinth
95,5.389379934,100.5635458,Pontederia crassipes,common water hyacinth
96,3.825866222,103.3472977,Pontederia crassipes,common water hyacinth
97,6.3941551,116.4579326,Pontederia crassipes,common water hyacinth
98,5.505158923,118.2702146,Pontederia crassipes,common water hyacinth
99,5.482294,118.256301,Pontederia crassipes,common water hyacinth
100,3.185936667,101.6296,Pontederia crassipes,common water hyacinth
101,4.603202392,101.081851,Pontederia crassipes,common water hyacinth
102,1.69078608,103.5127601,Pontederia crassipes,common water hyacinth
103,6.440604752,100.1983709,Pontederia crassipes,common water hyacinth
104,5.867150268,117.9495607,Pontederia crassipes,common water hyacinth
105,3.186178333,101.629555,Pontederia crassipes,common water hyacinth
106,3.185945,101.6296,Pontederia crassipes,common water hyacinth
107,5.667683333,118.40072,Pontederia crassipes,common water hyacinth
108,5.504564708,118.267375,Pontederia crassipes,common water hyacinth
109,5.489961667,118.21115,Pontederia crassipes,common water hyacinth
110,5.407916667,117.9474117,Pontederia crassipes,common water hyacinth
111,5.667088341,118.4016717,Pontederia crassipes,common water hyacinth
112,4.39645,101.0524,Pontederia crassipes,common water hyacinth
113,5.478358333,100.2517083,Pontederia crassipes,common water hyacinth
114,5.407819468,117.9473816,Pontederia crassipes,common water hyacinth
115,2.133030556,111.5211083,Pontederia crassipes,common water hyacinth
116,2.278358333,111.8600444,Pontederia crassipes,common water hyacinth
117,2.989168011,101.7125228,Pontederia crassipes,common water hyacinth
118,6.40370027,100.1427549,Pontederia crassipes,common water hyacinth
119,3.104077833,101.6681133,Pontederia crassipes,common water hyacinth
120,3.1113445,101.64498,Pontederia crassipes,common water hyacinth
121,2.962213335,101.6345255,Pontederia crassipes,common water hyacinth
122,5.55888728,100.426842,Pontederia crassipes,common water hyacinth
123,2.267058026,102.2981711,Pontederia crassipes,common water hyacinth
124,5.189366667,118.5005972,Pontederia crassipes,common water hyacinth
125,2.964039972,101.698468,Pontederia crassipes,common water hyacinth
126,5.550685748,118.3609408,Pontederia crassipes,common water hyacinth
127,2.96430325,101.6946806,Pontederia crassipes,common water hyacinth
128,2.96440875,101.6947104,Pontederia crassipes,common water hyacinth
129,5.466159278,118.181559,Pontederia crassipes,common water hyacinth
130,5.35397629,100.3006535,Pontederia crassipes,common water hyacinth
131,5.489055556,118.2255083,Pontederia crassipes,common water hyacinth
132,5.490614749,118.3417383,Pontederia crassipes,common water hyacinth
133,5.496394447,118.2497042,Pontederia crassipes,common water hyacinth
134,5.50082,118.25788,Pontederia crassipes,common water hyacinth
135,5.35442,100.3004617,Pontederia crassipes,common water hyacinth
136,2.964326414,101.6944784,Pontederia crassipes,common water hyacinth
137,2.676980556,101.8836472,Pontederia crassipes,common water hyacinth
138,5.504565577,118.2700076,Pontederia crassipes,common water hyacinth
139,5.528086,118.304497,Pontederia crassipes,common water hyacinth
140,5.478289799,118.2144568,Pontederia crassipes,common water hyacinth
141,5.480403078,118.2588237,Pontederia crassipes,common water hyacinth
142,2.943953333,101.6944133,Pontederia crassipes,common water hyacinth
143,5.486356882,118.2632349,Pontederia crassipes,common water hyacinth
144,5.465483333,118.2533556,Pontederia crassipes,common water hyacinth
145,5.501561409,118.3050933,Pontederia crassipes,common water hyacinth
146,6.2910973,99.7317987,Pontederia crassipes,common water hyacinth
147,5.497451603,118.253322,Pontederia crassipes,common water hyacinth
148,5.486354288,118.2625876,Pontederia crassipes,common water hyacinth
149,6.288397222,99.73238333,Pontederia crassipes,common water hyacinth
150,5.486419444,118.2626639,Pontederia crassipes,common water hyacinth
151,2.854624556,112.6939109,Pontederia crassipes,common water hyacinth
152,6.292590602,99.73207887,Pontederia crassipes,common water hyacinth
153,1.519691667,110.3606033,Pontederia crassipes,common water hyacinth
